Address,Area,Frontage,Access Road,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price,City,District
"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",31.0,5.0,3.0,5.0,3,4,Have certificate,N/A,7.3,Hà Nội,Hai Bà Trưng
"Xã Bà Điểm, Hóc Môn, Hồ Chí Minh",105.0,5.3,8.0,4.0,4,1,Have certificate,N/A,7.5,Hồ Chí Minh,Hóc Môn
"đường Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",46.0,4.0,3.0,4.5,4,4,Have certificate,N/A,6.3,Hà Nội,Nam Từ Liêm
"Đường Mỹ Khê 8, Phường Phước Mỹ, Sơn Trà, Đà Nẵng",60.0,7.5,3.0,2.0,3,1,Have certificate,Full,3.35,Đà Nẵng,Sơn Trà
"Đường Nguyên Hồng, Phường Láng Hạ, Đống Đa, Hà Nội",40.0,3.1,2.0,5.0,4,4,Have certificate,Full,6.9,Hà Nội,Đống Đa
"Đường Lưu Trọng Lư, Phường Hòa Cường Nam, Hải Châu, Đà Nẵng",70.0,4.0,5.5,3.0,4,4,Have certificate,Full,6.2,Đà Nẵng,Hải Châu
"Đường Lương Thế Vinh, Phường An Hải Đông, Sơn Trà, Đà Nẵng",50.0,7.0,3.0,2.0,3,2,Have certificate,Full,4.1,Đà Nẵng,Sơn Trà
"Dự án 25 Vũ Ngọc Phan, Phố Vũ Ngọc Phan, Phường Láng Hạ, Đống Đa, Hà Nội",62.0,5.3,5.0,4.0,4,4,Have certificate,Full,8.0,Hà Nội,Đống Đa
"Phố Chùa Láng, Phường Láng Thượng, Đống Đa, Hà Nội",39.0,4.0,3.0,5.0,4,4,Have certificate,Full,6.0,Hà Nội,Đống Đa
"Ngõ Thổ Quan, Phố Khâm Thiên, Phường Thổ Quan, Đống Đa, Hà Nội",50.0,4.0,3.0,3.0,4,3,Have certificate,N/A,10.0,Hà Nội,Đống Đa
"Đường Võ Thị Sáu, Phường Đông Hòa, Dĩ An, Bình Dương",87.5,5.0,10.0,3.0,4,4,Have certificate,Basic,9.5,Bình Dương,Dĩ An
"Đường Khuất Duy Tiến, Phường Thanh Xuân Bắc, Thanh Xuân, Hà Nội",53.5,5.0,5.0,5.0,5,4,Have certificate,Basic,10.0,Hà Nội,Thanh Xuân
"Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",35.0,4.5,3.0,6.0,3,5,Have certificate,Full,7.5,Hà Nội,Hai Bà Trưng
"Ngõ 322, Đường Nhân Mỹ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",51.0,4.3,5.0,4.0,3,3,Have certificate,Full,6.3,Hà Nội,Nam Từ Liêm
"Dự án T&T Millennia City Long Hậu, Xã Long Hậu, Cần Giuộc, Long An",120.0,12.0,12.0,4.0,4,4,Sale contract,N/A,3.95,Long An,Cần Giuộc
"Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",36.0,4.0,6.0,2.0,2,2,Have certificate,N/A,3.15,Hồ Chí Minh,Tân Phú
"Phố Trần Cung, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",61.0,4.0,3.0,4.0,4,3,Have certificate,Full,7.95,Hà Nội,Bắc Từ Liêm
"Đường Định Công Thượng, Phường Định Công, Hoàng Mai, Hà Nội",65.0,5.0,3.0,5.0,5,4,Have certificate,N/A,8.8,Hà Nội,Hoàng Mai
"Đường Phan Huy Ích, Phường 15, Tân Bình, Hồ Chí Minh",50.8,4.0,12.0,2.0,2,1,Sale contract,N/A,6.98,Hồ Chí Minh,Tân Bình
"Đường  Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Hồ Chí Minh",48.0,4.0,3.0,3.0,5,3,Sale contract,N/A,5.3,Hồ Chí Minh,Quận 7
"Phố Chùa Láng, Phường Láng Thượng, Đống Đa, Hà Nội",41.0,4.0,3.0,1.0,2,1,Have certificate,Full,6.9,Hà Nội,Đống Đa
"Đường Lê Hồng Phong, Phường Tân Bình, Dĩ An, Bình Dương",68.9,4.4,12.0,2.0,3,3,Have certificate,Full,3.35,Bình Dương,Dĩ An
"Đường Dương Hiến Quyền, Phường Vĩnh Hòa, Nha Trang, Khánh Hòa",72.8,5.7,8.0,3.0,4,4,Have certificate,Basic,6.5,Khánh Hòa,Nha Trang
"Phường Thượng Đình, Thanh Xuân, Hà Nội",47.0,3.1,5.0,4.0,1,1,Have certificate,N/A,6.0,Hà Nội,Thanh Xuân
"Đường Nguyễn Thị Tồn, Phường Bửu Hòa, Biên Hòa, Đồng Nai",93.0,4.5,10.0,2.0,3,2,Have certificate,Basic,2.8,Đồng Nai,Biên Hòa
"Đường 11, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",93.7,6.0,6.0,3.0,3,4,Have certificate,N/A,7.9,Hồ Chí Minh,Thủ Đức
"Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Long Biên, Hà Nội",70.0,5.0,4.0,2.0,2,2,Have certificate,N/A,6.0,Hà Nội,Long Biên
"Đường Quang Trung, Phường Yên Nghĩa, Hà Đông, Hà Nội",50.0,5.0,2.0,6.0,6,6,Have certificate,N/A,9.3,Hà Nội,Hà Đông
"Đường Nguyễn Văn Cừ, Phường Bồ Đề, Long Biên, Hà Nội",73.0,5.0,3.0,4.0,4,3,Have certificate,N/A,9.2,Hà Nội,Long Biên
"Xã Hữu Hòa, Thanh Trì, Hà Nội",40.0,3.2,5.0,4.5,4,3,Have certificate,Basic,10.0,Hà Nội,Thanh Trì
"Phường Đức Giang, Long Biên, Hà Nội",36.0,3.66,5.0,4.0,6,3,Sale contract,N/A,4.75,Hà Nội,Long Biên
"Đường Cổ Loa, Phường 2, Đà Lạt, Lâm Đồng",75.0,4.2,5.0,4.0,4,1,Sale contract,N/A,9.2,Lâm Đồng,Đà Lạt
"Dự án Đồng Diều, Đường Cao Lỗ, Phường 4, Quận 8, Hồ Chí Minh",50.2,4.2,5.0,1.0,2,1,Sale contract,Full,5.0,Hồ Chí Minh,Quận 8
"Phố Lò Đúc, Phường Đống Mác, Hai Bà Trưng, Hà Nội",27.0,6.0,3.0,5.0,3,4,Have certificate,Full,4.8,Hà Nội,Hai Bà Trưng
"Đường Quốc lộ 1A, Thị trấn Vôi, Lạng Giang, Bắc Giang.",180.0,10.0,10.0,5.0,4,5,Have certificate,Full,7.0,Bắc Giang,Lạng Giang
"Đường Cổ Nhuế, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",57.0,3.4,2.5,3.0,4,4,Have certificate,N/A,5.8,Hà Nội,Bắc Từ Liêm
"Phố Trần Cung, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",37.0,4.0,3.0,5.0,3,4,Have certificate,N/A,6.7,Hà Nội,Bắc Từ Liêm
"1979, Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh",55.9,4.3,6.0,4.0,4,5,Have certificate,Full,6.5,Hồ Chí Minh,Nhà Bè
"Đường Phạm Đăng Giảng, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh.",55.2,4.6,7.0,4.0,4,5,Have certificate,Full,5.5,Hồ Chí Minh,Bình Tân
"Đường An Phú Đông 9, Phường An Phú Đông, Quận 12, Hồ Chí Minh",161.0,5.0,4.0,3.0,3,1,Have certificate,N/A,8.3,Hồ Chí Minh,Quận 12
"Phường Việt Hưng, Long Biên, Hà Nội",35.0,4.0,3.0,5.0,3,3,Have certificate,Basic,4.5,Hà Nội,Long Biên
"Đường Tô Hiệu, Phường Hà Cầu, Hà Đông, Hà Nội",42.0,3.8,4.0,4.0,4,3,Have certificate,Full,7.5,Hà Nội,Hà Đông
"Số 47, Đường 208, Xã An Đồng, An Dương, Hải Phòng",74.0,7.34,5.0,2.0,1,1,Have certificate,N/A,4.8,Hải Phòng,An Dương
"Đường Láng, Phường Láng Thượng, Đống Đa, Hà Nội",46.0,6.0,2.0,4.0,4,3,Have certificate,Full,8.5,Hà Nội,Đống Đa
"Đường Hồ Hòa, Phường Tân Phong, Biên Hòa, Đồng Nai",160.7,8.0,4.0,1.0,3,2,Have certificate,N/A,4.4,Đồng Nai,Biên Hòa
"đường Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",45.0,5.0,3.0,4.0,3,3,Have certificate,Basic,5.0,Hà Nội,Nam Từ Liêm
"Phố Trần Nguyên Hãn, Phường Phước Hòa, Nha Trang, Khánh Hòa",76.0,4.28,12.0,2.0,3,3,Have certificate,Basic,6.0,Khánh Hòa,Nha Trang
"Đường Số 8, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh",84.0,4.0,10.0,2.0,3,3,Have certificate,Basic,9.7,Hồ Chí Minh,Bình Tân
"Đường Nguyễn Đức Cảnh, Phường Tương Mai, Hoàng Mai, Hà Nội",32.0,4.0,3.5,4.0,3,3,Sale contract,N/A,4.5,Hà Nội,Hoàng Mai
"Đường Thoại Ngọc Hầu, Phường Phú Thạnh, Tân Phú, Hồ Chí Minh",48.0,4.0,8.0,3.0,3,3,Sale contract,N/A,6.5,Hồ Chí Minh,Tân Phú
"Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Long Biên, Hà Nội",55.0,5.0,4.0,5.0,4,4,Have certificate,N/A,9.28,Hà Nội,Long Biên
"Đường Cù Lao, Phường Hiệp Hòa, Biên Hòa, Đồng Nai",63.0,4.2,5.0,3.0,4,5,Have certificate,N/A,4.65,Đồng Nai,Biên Hòa
"Phường Phúc Đồng, Long Biên, Hà Nội",55.0,3.8,5.0,4.5,3,3,Sale contract,N/A,4.69,Hà Nội,Long Biên
"Phố Bạch Mai, Xã Đồng Thái, An Dương, Hải Phòng",54.0,4.5,12.0,3.0,3,3,Have certificate,Full,3.45,Hải Phòng,An Dương
"Đường Ngô Gia Tự, Phường Đức Giang, Long Biên, Hà Nội",58.0,4.7,6.0,3.0,4,3,Have certificate,N/A,6.5,Hà Nội,Long Biên
"Ngõ 191, Đường Phạm Văn Đồng, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",38.0,4.0,5.0,5.0,1,1,Have certificate,Full,7.0,Hà Nội,Cầu Giấy
"Đường Nguyễn Ái Quốc, Phường Tân Tiến, Biên Hòa, Đồng Nai",70.0,6.0,5.0,2.0,3,2,Have certificate,Basic,3.5,Đồng Nai,Biên Hòa
"Đường Miếu Hai Xã, Phường Dư Hàng Kênh, Lê Chân, Hải Phòng",36.0,4.35,2.3,3.0,1,1,Have certificate,N/A,2.25,Hải Phòng,Lê Chân
"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",38.0,4.0,3.0,6.0,3,4,Have certificate,N/A,6.9,Hà Nội,Bắc Từ Liêm
"Đường Phạm Văn Đồng, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",43.0,4.0,3.0,5.0,5,4,Have certificate,Full,8.2,Hà Nội,Bắc Từ Liêm
"Phường 12, Gò Vấp, Hồ Chí Minh",68.0,4.0,5.0,2.0,2,2,Have certificate,N/A,6.1,Hồ Chí Minh,Gò Vấp
"Đường Minh Khai, Phường Trương Định, Hai Bà Trưng, Hà Nội",69.0,3.7,5.0,4.0,4,3,Have certificate,N/A,4.8,Hà Nội,Hai Bà Trưng
"Đường Võ Văn Ngân, Phường Linh Chiểu, Thủ Đức, Hồ Chí Minh",70.0,7.0,8.0,2.0,3,3,Have certificate,Full,6.2,Hồ Chí Minh,Thủ Đức
"Đường Xuân La, Phường Xuân La, Tây Hồ, Hà Nội",38.0,4.0,3.0,5.0,3,4,Have certificate,N/A,7.2,Hà Nội,Tây Hồ
"Đường Đồng Khởi, Phường Tam Hiệp, Biên Hòa, Đồng Nai",102.0,6.5,5.0,1.0,2,2,Have certificate,Full,4.8,Đồng Nai,Biên Hòa
"Phố Nhân Hòa, Phường Nhân Chính, Thanh Xuân, Hà Nội",45.0,3.0,5.0,4.0,4,4,Have certificate,Full,7.5,Hà Nội,Thanh Xuân
"Đường Phan Tây Hồ, Phường 7, Phú Nhuận, Hồ Chí Minh",65.0,4.0,3.0,4.0,4,4,Sale contract,N/A,8.2,Hồ Chí Minh,Phú Nhuận
"Dự án Him Lam Hùng Vương, Phường Hùng Vương, Hồng Bàng, Hải Phòng",48.0,4.0,10.0,4.0,4,3,Have certificate,Basic,3.1,Hải Phòng,Hồng Bàng
"Phố An Trạch, Phường Cát Linh, Đống Đa, Hà Nội",35.0,2.8,5.0,5.0,4,5,Have certificate,Full,5.6,Hà Nội,Đống Đa
"Dự án Waterpoint, Đường Tỉnh lộ 824, Xã An Thạnh, Bến Lức, Long An",90.0,6.0,12.0,2.0,4,3,Have certificate,N/A,3.2,Long An,Bến Lức
"Đường Bùi Hữu Nghĩa, Phường Tân Vạn, Biên Hòa, Đồng Nai",69.0,4.5,4.0,1.0,3,2,Have certificate,Basic,1.9,Đồng Nai,Biên Hòa
"Đường Phan Trung, Phường Tân Tiến, Biên Hòa, Đồng Nai.",72.0,5.0,4.0,2.0,3,2,Have certificate,Full,4.0,Đồng Nai,Biên Hòa
"Dự án Him Lam Hùng Vương, Quận Hồng Bàng, Hải Phòng",50.0,4.2,10.0,4.0,4,3,Have certificate,Basic,3.2,Hải Phòng,Hồng Bàng
"Dự án Him Lam Hùng Vương, Đường Cam Lộ, Phường Hùng Vương, Hồng Bàng, Hải Phòng",50.0,4.2,10.0,4.0,4,3,Have certificate,Basic,3.15,Hải Phòng,Hồng Bàng
"Đường Khương Trung, Phường Khương Trung, Thanh Xuân, Hà Nội",40.0,4.0,3.0,5.0,5,4,Have certificate,Full,6.85,Hà Nội,Thanh Xuân
"Đường Đỗ Văn Thi, Phường Hiệp Hòa, Biên Hòa, Đồng Nai",63.0,4.0,4.0,3.0,4,5,Have certificate,Full,4.65,Đồng Nai,Biên Hòa
"Đường Âu Dương Lân, Phường 3, Quận 8, Hồ Chí Minh",31.5,3.5,5.0,2.0,2,2,Have certificate,N/A,3.0,Hồ Chí Minh,Quận 8
"Đường Huỳnh Văn Nghệ, Phường Bửu Long, Biên Hòa, Đồng Nai",72.5,5.0,8.0,1.0,3,2,Have certificate,N/A,2.65,Đồng Nai,Biên Hòa
"Đường Vân Canh, Xã Vân Canh, Hoài Đức, Hà Nội",30.0,4.48,2.0,5.0,3,4,Have certificate,Full,3.45,Hà Nội,Hoài Đức
"Đường Phú Đức, Phường Vĩnh Hòa, Nha Trang, Khánh Hòa",71.6,5.0,3.0,1.0,2,2,Have certificate,N/A,2.39,Khánh Hòa,Nha Trang
"Dự án Centa City Hải Phòng, Đường 359, Xã Dương Quan, Thủy Nguyên, Hải Phòng",75.0,5.0,12.0,3.0,4,3,Have certificate,N/A,3.48,Hải Phòng,Thủy Nguyên
"Dự án Bcons Plaza, Đường Thống Nhất, Phường Đông Hòa, Dĩ An, Bình Dương",52.0,4.2,5.0,1.0,1,1,Have certificate,N/A,3.35,Bình Dương,Dĩ An
"Đường Số 7, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh",99.0,6.6,5.0,2.0,3,2,Have certificate,N/A,7.0,Hồ Chí Minh,Quận 2
"Đường Vĩnh Hồ, Phường Ngã Tư Sở, Đống Đa, Hà Nội",50.0,4.2,5.0,6.0,1,1,Sale contract,N/A,7.5,Hà Nội,Đống Đa
"Xã Yên Mỹ, Thanh Trì, Hà Nội",70.0,4.0,3.5,4.0,4,3,Have certificate,Basic,4.95,Hà Nội,Thanh Trì
"Đường Nguyễn Kiệm, Phường 3, Gò Vấp, Hồ Chí Minh",56.0,4.0,6.0,2.0,3,3,Have certificate,Full,2.9,Hồ Chí Minh,Gò Vấp
"Phố Văn Miếu, Phường Quốc Tử Giám, Đống Đa, Hà Nội",40.0,4.3,5.0,4.0,1,1,Sale contract,Basic,6.12,Hà Nội,Đống Đa
"Đường Ái Mộ, Phường Bồ Đề, Long Biên, Hà Nội",50.0,4.0,6.0,7.0,5,5,Have certificate,Full,10.0,Hà Nội,Long Biên
"Đường Trần Quí Cáp, Phường Hàng Bột, Đống Đa, Hà Nội",32.0,4.2,5.0,5.0,3,3,Sale contract,N/A,4.2,Hà Nội,Đống Đa
"Đường An Trai, Xã Vân Canh, Hoài Đức, Hà Nội",40.0,4.0,5.0,5.0,5,4,Have certificate,Full,5.35,Hà Nội,Hoài Đức
"Đường Man Thiện, Phường Tăng Nhơn Phú A, Thủ Đức, Hồ Chí Minh",90.0,5.4,5.0,1.0,4,4,Have certificate,Full,4.9,Hồ Chí Minh,Thủ Đức
"Đường Nguyễn Bình, Phường Phú Lợi, Thủ Dầu Một, Bình Dương",105.5,5.0,4.5,3.0,4,3,Have certificate,Basic,5.4,Bình Dương,Thủ Dầu Một
"Đường Số 7, Phường Linh Trung, Thủ Đức, Hồ Chí Minh",130.0,4.5,10.0,1.0,2,1,Have certificate,Full,8.5,Hồ Chí Minh,Thủ Đức
"Đường  Thạch Lam, Phường Phú Thạnh, Tân Phú, Hồ Chí Minh",60.0,4.0,5.0,4.0,3,3,Sale contract,N/A,9.5,Hồ Chí Minh,Tân Phú
"Đường Dương Khuê, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh",72.0,4.0,12.0,4.0,1,1,Sale contract,N/A,8.99,Hồ Chí Minh,Tân Phú
"Đường Phúc Lợi, Phường Phúc Lợi, Long Biên, Hà Nội",33.0,4.0,3.0,6.0,3,4,Sale contract,N/A,3.7,Hà Nội,Long Biên
"Phố Lương Định Của, Xã Vĩnh Ngọc, Nha Trang, Khánh Hòa",93.0,7.0,3.0,3.0,3,2,Have certificate,N/A,2.25,Khánh Hòa,Nha Trang
"Đường Tô Hiệu, Phường Hà Cầu, Hà Đông, Hà Nội",42.0,4.0,3.0,5.0,5,5,Have certificate,Full,7.5,Hà Nội,Hà Đông
"Đường Nguyễn Tuyển, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",56.0,9.0,5.0,3.0,5,3,Have certificate,N/A,9.7,Hồ Chí Minh,Quận 2
"Dự án Oasis City, Đường Vành Đai 4, Phường Mỹ Phước, Bến Cát, Bình Dương",80.0,5.0,12.0,2.0,2,2,Have certificate,N/A,1.5,Bình Dương,Bến Cát
"Đường Bùi Minh Trực, Phường 5, Quận 8, Hồ Chí Minh",64.0,3.3,3.0,3.0,4,3,Have certificate,Basic,8.9,Hồ Chí Minh,Quận 8
"Đường 422B, Xã Vân Canh, Hoài Đức, Hà Nội",30.0,4.0,2.0,4.0,4,4,Have certificate,Full,3.45,Hà Nội,Hoài Đức
"Đường Âu Dương Lân, Phường 3, Quận 8, Hồ Chí Minh",52.0,4.0,4.0,3.0,5,6,Have certificate,Basic,7.5,Hồ Chí Minh,Quận 8
"Đường Dương Lâm, Phường Văn Quán, Hà Đông, Hà Nội",30.0,3.6,4.0,5.0,4,4,Have certificate,N/A,6.65,Hà Nội,Hà Đông
"Đường Dương Bá Trạc, Phường 2, Quận 8, Hồ Chí Minh",50.64,3.5,2.5,3.0,5,3,Have certificate,Basic,6.9,Hồ Chí Minh,Quận 8
"Đường Dương Bá Trạc, Phường 2, Quận 8, Hồ Chí Minh",32.0,3.5,2.0,2.0,2,2,Have certificate,N/A,3.85,Hồ Chí Minh,Quận 8
"Đường Hàn Hải Nguyên, Phường 9, Quận 11, Hồ Chí Minh",32.0,3.5,5.0,4.0,5,3,Have certificate,Basic,5.7,Hồ Chí Minh,Quận 11
"Đường Lê Tấn Bê, Phường An Lạc, Bình Tân, Hồ Chí Minh",23.0,4.0,2.0,1.0,1,1,Have certificate,N/A,2.15,Hồ Chí Minh,Bình Tân
"Đường Âu Dương Lân, Phường 3, Quận 8, Hồ Chí Minh",52.0,4.0,4.0,3.0,6,6,Have certificate,N/A,6.85,Hồ Chí Minh,Quận 8
"Xã Vĩnh Thạnh, Nha Trang, Khánh Hòa",114.2,6.0,6.0,2.0,3,2,Have certificate,N/A,2.75,Khánh Hòa,Nha Trang
"Xã Vĩnh Ngọc, Nha Trang, Khánh Hòa",100.0,8.0,4.0,3.0,4,3,Have certificate,Full,3.65,Khánh Hòa,Nha Trang
"Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",27.0,3.1,3.0,2.0,2,2,Have certificate,N/A,2.55,Hồ Chí Minh,Quận 12
"Đường 422B, Xã Vân Canh, Hoài Đức, Hà Nội.",35.0,4.8,2.2,4.0,4,4,Have certificate,Full,4.45,Hà Nội,Hoài Đức
"Đường Nguyễn Sơn, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",44.0,4.0,6.0,2.0,3,2,Sale contract,N/A,4.3,Hồ Chí Minh,Tân Phú
"Đường Trường Sa, Phường 15, Bình Thạnh, Hồ Chí Minh",46.0,4.2,5.0,5.0,5,5,Have certificate,Full,8.7,Hồ Chí Minh,Bình Thạnh
"Đường D2, Phường Bửu Long, Biên Hòa, Đồng Nai",84.0,4.2,8.0,1.0,1,1,Have certificate,Full,3.7,Đồng Nai,Biên Hòa
"Đường Âu Dương Lân, Phường 3, Quận 8, Hồ Chí Minh",42.9,3.9,4.0,2.0,2,2,Have certificate,N/A,6.3,Hồ Chí Minh,Quận 8
"Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",52.2,4.8,10.0,4.0,4,5,Sale contract,Full,6.77,Hồ Chí Minh,Quận 12
"Đường Mạc Vân, Phường 12, Quận 8, Hồ Chí Minh",40.0,3.2,6.0,2.0,4,3,Have certificate,N/A,4.53,Hồ Chí Minh,Quận 8
"Đường Hưng Lân, Xã Bà Điểm, Hóc Môn, Hồ Chí Minh",107.0,5.3,12.0,4.0,5,4,Have certificate,Full,7.29,Hồ Chí Minh,Hóc Môn
"Đường Nguyễn Khắc Viện, Phường Giang Biên, Long Biên, Hà Nội",40.0,4.2,5.0,1.0,1,1,Have certificate,N/A,7.45,Hà Nội,Long Biên
"Đường Kim Hoàng, Xã Vân Canh, Hoài Đức, Hà Nội",37.0,6.0,10.5,5.0,4,4,Have certificate,Basic,5.2,Hà Nội,Hoài Đức
"Đường Lam Sơn, Phường 5, Phú Nhuận, Hồ Chí Minh",70.0,4.0,2.0,2.0,6,3,Have certificate,N/A,6.5,Hồ Chí Minh,Phú Nhuận
"Phố Khâm Thiên, Phường Khâm Thiên, Đống Đa, Hà Nội",25.0,4.0,3.0,5.0,4,4,Have certificate,Full,3.98,Hà Nội,Đống Đa
"Đường Trần Quang Diệu, Phường 10, Đà Lạt, Lâm Đồng",141.83,4.0,5.0,1.0,2,1,Have certificate,Full,5.0,Lâm Đồng,Đà Lạt
"đường Mỹ Đình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",40.0,4.0,3.0,5.0,6,6,Have certificate,Full,8.5,Hà Nội,Nam Từ Liêm
"Đường Dương Bá Trạc, Phường 1, Quận 8, Hồ Chí Minh",34.4,4.0,3.0,3.0,3,3,Have certificate,N/A,4.85,Hồ Chí Minh,Quận 8
"Đường Bùi Minh Trực, Phường 6, Quận 8, Hồ Chí Minh",64.0,4.0,8.0,3.0,3,2,Have certificate,Basic,7.8,Hồ Chí Minh,Quận 8
"Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",60.0,4.0,6.0,4.0,4,6,Have certificate,Full,7.45,Hồ Chí Minh,Thủ Đức
"Đường Nguyễn Thị Tồn, Phường Hóa An, Biên Hòa, Đồng Nai",60.0,5.0,5.0,2.0,3,2,Sale contract,N/A,1.35,Đồng Nai,Biên Hòa
"Đường Tân Chánh Hiệp, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",84.0,4.0,6.0,4.0,4,5,Have certificate,Basic,5.0,Hồ Chí Minh,Quận 12
"Đường Âu Dương Lân, Phường 3, Quận 8, Hồ Chí Minh",57.0,3.6,5.0,2.0,2,2,Have certificate,Basic,6.5,Hồ Chí Minh,Quận 8
"Dự án Phúc Lộc Viên, Đường Ngô Quyền, Phường  An Hải Bắc, Sơn Trà, Đà Nẵng",150.0,7.5,7.5,2.0,3,3,Sale contract,N/A,9.8,Đà Nẵng,Sơn Trà
"Đường Hoàng Văn Thụ, Phường 4, Tân Bình, Hồ Chí Minh",45.0,4.0,4.0,2.0,2,2,Have certificate,Full,5.5,Hồ Chí Minh,Tân Bình
"Đường Số 5, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",62.0,4.2,5.0,2.0,2,2,Have certificate,Basic,4.5,Hồ Chí Minh,Thủ Đức
"Ngõ 266, Đường Đội Cấn, Phường Đội Cấn, Ba Đình, Hà Nội",42.0,4.0,3.0,4.0,4,5,Have certificate,Basic,6.3,Hà Nội,Ba Đình
"Hẻm 568, Đường Lê Văn Việt, Phường Tăng Nhơn Phú B, Quận 9, Hồ Chí Minh",62.0,4.0,10.0,2.0,2,2,Have certificate,N/A,4.5,Hồ Chí Minh,Quận 9
"Đường Số 28, Phường 6, Gò Vấp, Hồ Chí Minh",68.0,4.2,6.0,4.0,6,6,Sale contract,N/A,7.8,Hồ Chí Minh,Gò Vấp
"Đường 182, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh",77.6,4.3,10.0,3.0,4,4,Have certificate,Full,6.5,Hồ Chí Minh,Quận 9
"Đường Bồ Đề, Phường Bồ Đề, Long Biên, Hà Nội",39.0,4.1,3.0,5.0,3,4,Sale contract,Full,5.0,Hà Nội,Long Biên
"Đường Kha Vạn Cân, Phường Linh Tây, Thủ Đức, Hồ Chí Minh",54.0,4.0,4.0,2.0,2,2,Have certificate,N/A,4.5,Hồ Chí Minh,Thủ Đức
"Đường Giáp Nhị, Phường Thịnh Liệt, Hoàng Mai, Hà Nội",26.0,4.0,3.0,4.0,2,3,Have certificate,Full,3.95,Hà Nội,Hoàng Mai
"Xã Phụng Châu, Chương Mỹ, Hà Nội",30.0,3.5,3.0,4.0,4,4,Have certificate,Basic,2.3,Hà Nội,Chương Mỹ
"Đường Trần Quang Khải, Phường Tân Đông Hiệp, Dĩ An, Bình Dương",64.0,4.0,7.0,3.0,3,2,Have certificate,Full,4.2,Bình Dương,Dĩ An
"Ngõ 79, Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",35.0,4.2,5.0,5.0,3,4,Have certificate,Full,5.95,Hà Nội,Cầu Giấy
"đường Liên Mạc, Phường Liên Mạc, Bắc Từ Liêm, Hà Nội",30.0,3.5,5.0,4.0,3,3,Have certificate,N/A,2.75,Hà Nội,Bắc Từ Liêm
"Đường Nguyễn Lân, Phường Phương Liệt, Thanh Xuân, Hà Nội",41.0,3.4,5.0,5.0,7,5,Have certificate,Full,8.5,Hà Nội,Thanh Xuân
"Đường Trương Định, Phường Tương Mai, Hoàng Mai, Hà Nội",22.0,4.5,2.0,2.0,2,4,Have certificate,Full,2.88,Hà Nội,Hoàng Mai
"Đường Miếu Đầm, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",35.0,3.4,2.0,5.0,3,3,Have certificate,N/A,5.6,Hà Nội,Nam Từ Liêm
"Phố Lò Đúc, Phường Đống Mác, Hai Bà Trưng, Hà Nội",28.0,4.2,5.0,5.0,4,3,Have certificate,Full,4.95,Hà Nội,Hai Bà Trưng
"Xã Di Trạch, Hoài Đức, Hà Nội",31.5,4.0,3.0,5.0,3,4,Have certificate,Full,3.75,Hà Nội,Hoài Đức
"Đường Nguyễn Ái Quốc, Phường Tân Hiệp, Biên Hòa, Đồng Nai",63.0,5.0,5.0,4.0,3,3,Have certificate,Full,4.05,Đồng Nai,Biên Hòa
"Dự án Thăng Long Home Hiệp Phước, Phố Tôn Đức Thắng, Thị trấn Hiệp Phước, Nhơn Trạch, Đồng Nai",100.0,5.0,12.0,3.0,4,2,Have certificate,N/A,4.12,Đồng Nai,Nhơn Trạch
