Address,Area,Frontage,Access Road,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price,City,District,class
"Đường Văn Cao, Phường Đằng Lâm, Hải An, Hải Phòng",90.0,4.5,12.0,5.0,4,5,Have certificate,No furnishings,8.6,Hải Phòng,Hải An,1.0
"Phố Phó Đức Chính, Phường Vĩnh Hòa, Nha Trang, Khánh Hòa",92.0,6.9,11.0,3.0,4,4,Have certificate,No furnishings,7.8,Khánh Hòa,Nha Trang,1.0
"Đường Trường Chinh, Phường 11, Tân Bình, Hồ Chí Minh",60.0,10.5,12.0,4.0,5,4,Have certificate,Full,9.99,Hồ Chí Minh,Tân Bình,1.0
"Đường Tân Thành, Phường Tân Thành, Tân Phú, Hồ Chí Minh",73.0,4.4,5.0,3.0,4,4,Have certificate,Basic,8.9,Hồ Chí Minh,Tân Phú,1.0
"Đường Hồng Bàng, Phường 1, Quận 11, Hồ Chí Minh",50.0,5.3,6.0,3.0,3,3,Have certificate,Basic,6.8,Hồ Chí Minh,Quận 11,1.0
"Đường Số 44, Phường 14, Gò Vấp, Hồ Chí Minh",40.0,4.0,6.0,2.0,2,2,Have certificate,Basic,3.9,Hồ Chí Minh,Gò Vấp,0.0
"Đường Lê Thiệt, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",37.0,4.0,12.0,4.0,3,2,Have certificate,Basic,5.6,Hồ Chí Minh,Tân Phú,0.0
"Đường Ni Sư Huỳnh Liên, Phường 10, Tân Bình, Hồ Chí Minh",45.0,4.0,4.0,5.0,3,3,Have certificate,No furnishings,6.6,Hồ Chí Minh,Tân Bình,1.0
"Đường Man Thiện, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh",85.0,5.5,5.0,1.0,5,5,Have certificate,Full,5.0,Hồ Chí Minh,Quận 9,1.0
"Đường Trần Phú, Phường Điện Biên, Ba Đình, Hà Nội",33.0,4.4,5.0,1.0,2,1,Have certificate,Full,2.6,Hà Nội,Ba Đình,0.0
"Đường Vĩnh Khê, Xã An Đồng, An Dương, Hải Phòng",51.0,4.1,2.5,3.0,3,2,Have certificate,Basic,2.27,Hải Phòng,An Dương,0.0
"Đường Cách Mạng, Phường Tân Thành, Tân Phú, Hồ Chí Minh",44.0,4.7,4.0,2.0,2,2,Have certificate,Basic,4.9,Hồ Chí Minh,Tân Phú,0.0
"Đường Võ Thị Sáu, Phường Đông Hòa, Dĩ An, Bình Dương",131.1,4.5,5.0,4.0,4,5,Have certificate,Basic,4.45,Bình Dương,Dĩ An,1.0
"Đường Lý Phục Man, Phường Bình Thuận, Quận 7, Hồ Chí Minh",56.0,7.0,8.0,3.0,3,3,Have certificate,Full,8.4,Hồ Chí Minh,Quận 7,1.0
"Đường Số 4, Xã Bình Lộc, Long Khánh, Đồng Nai",110.0,5.0,5.0,1.0,2,1,Have certificate,Full,1.1,Đồng Nai,Long Khánh,0.0
"Phường Phước Bình, Quận 9, Hồ Chí Minh",84.0,4.0,8.0,1.0,2,1,Have certificate,Basic,9.0,Hồ Chí Minh,Quận 9,0.0
"Đường Hoàng Thế Trung, Xã An Đồng, An Dương, Hải Phòng",54.0,4.4,3.0,3.0,3,3,Have certificate,Basic,2.75,Hải Phòng,An Dương,0.0
"Đường Hoàng Văn Hợp, Phường An Lạc A, Bình Tân, Hồ Chí Minh",101.1,5.1,5.0,2.0,4,2,Sale contract,No furnishings,10.0,Hồ Chí Minh,Bình Tân,0.0
"Đường Trần Văn Quang, Phường 10, Tân Bình, Hồ Chí Minh",53.0,4.0,4.0,2.0,2,2,Have certificate,Basic,4.65,Hồ Chí Minh,Tân Bình,0.0
"Đường Hữu Hòa, Xã Hữu Hòa, Huyện Thanh Trì, Hà Nội",39.0,4.0,4.0,5.0,3,3,Have certificate,No furnishings,3.5,Hà Nội,Thanh Trì,1.0
"Ngõ Toàn Thắng, Phố Khâm Thiên, Phường Thổ Quan, Đống Đa, Hà Nội",25.6,4.4,2.0,4.0,2,3,Have certificate,No furnishings,5.35,Hà Nội,Đống Đa,1.0
"Đường Đội Cấn, Phường Đội Cấn, Ba Đình, Hà Nội",60.0,5.0,3.0,4.0,5,4,Have certificate,Full,9.75,Hà Nội,Ba Đình,1.0
"Đường Trần Thị Năm, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",60.0,4.0,6.0,4.0,5,5,Have certificate,Basic,5.85,Hồ Chí Minh,Quận 12,1.0
"Đường Vĩnh Khê, Xã An Đồng, An Dương, Hải Phòng",68.0,4.0,4.0,3.0,3,4,Have certificate,Basic,3.22,Hải Phòng,An Dương,1.0
"Đường Số 8, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh",75.0,4.5,8.0,1.0,3,1,Have certificate,Full,6.5,Hồ Chí Minh,Quận 9,0.0
"Đường Phú Thiện, Xã Vĩnh Thạnh, Nha Trang, Khánh Hòa",79.2,9.0,5.0,2.0,2,2,Have certificate,Basic,2.6,Khánh Hòa,Nha Trang,0.0
"Đường An Bình, Xã An Đồng, An Dương, Hải Phòng",125.0,5.0,10.0,3.0,4,4,Have certificate,Full,5.5,Hải Phòng,An Dương,1.0
"Đường 743A, Phường Tân Đông Hiệp, Dĩ An, Bình Dương",62.0,4.5,10.0,2.0,2,2,Have certificate,Basic,3.8,Bình Dương,Dĩ An,0.0
"Đường 182, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh",77.0,4.0,8.0,4.0,4,4,Have certificate,No furnishings,6.5,Hồ Chí Minh,Quận 9,1.0
"Đường Lê Thị Kim, Xã Xuân Thới Đông, Hóc Môn, Hồ Chí Minh",85.0,5.0,6.0,1.0,5,5,Have certificate,No furnishings,2.55,Hồ Chí Minh,Hóc Môn,1.0
"Đường Nguyễn Văn Khối, Phường 11, Gò Vấp, Hồ Chí Minh",56.7,4.0,4.0,4.0,5,5,Have certificate,Full,5.85,Hồ Chí Minh,Gò Vấp,1.0
"Số 785, Đường Phúc Diễn, Phường Xuân Phương, Nam Từ Liêm, Hà Nội",60.0,4.2,7.0,1.0,1,1,Sale contract,No furnishings,5.3,Hà Nội,Nam Từ Liêm,0.0
"Đường Bác Ái, Phường Tân Thành, Tân Phú, Hồ Chí Minh",72.4,4.1,12.0,2.0,4,3,Have certificate,No furnishings,8.9,Hồ Chí Minh,Tân Phú,1.0
"Đường Lô Tư, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh",67.0,4.23,12.0,3.0,3,3,Have certificate,No furnishings,7.45,Hồ Chí Minh,Bình Tân,1.0
"Đường Số 21A, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh",90.0,4.0,8.0,3.0,4,5,Have certificate,Full,9.2,Hồ Chí Minh,Bình Tân,1.0
"Hẻm 108, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh",24.0,4.4,5.0,2.0,2,2,Have certificate,No furnishings,2.95,Hồ Chí Minh,Bình Thạnh,0.0
"Đường Bành Văn Trân, Phường 7, Tân Bình, Hồ Chí Minh",27.0,3.0,3.0,2.0,2,2,Have certificate,Full,4.15,Hồ Chí Minh,Tân Bình,0.0
"Đường Nguyễn Duy Cung, Phường 12, Gò Vấp, Hồ Chí Minh",36.0,4.2,3.0,2.0,3,3,Have certificate,Full,4.97,Hồ Chí Minh,Gò Vấp,0.0
"Đường Tân Hương, Phường Tân Quý, Tân Phú, Hồ Chí Minh",32.0,4.0,2.0,3.0,2,3,Have certificate,No furnishings,4.75,Hồ Chí Minh,Tân Phú,0.0
"Đường  Nguyễn Xí, Phường 13, Bình Thạnh, Hồ Chí Minh",60.0,4.225,6.0,4.0,3,6,Have certificate,Full,7.9,Hồ Chí Minh,Bình Thạnh,1.0
"Đường Gò Xoài, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh",107.0,6.4,5.0,3.0,6,3,Have certificate,No furnishings,7.8,Hồ Chí Minh,Bình Tân,1.0
"Đường Thạnh Xuân 52, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",80.0,5.0,7.0,2.0,2,1,Have certificate,No furnishings,3.3,Hồ Chí Minh,Quận 12,0.0
"Đường Bùi Văn Ngữ, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",50.0,4.5,4.5,2.0,3,2,Have certificate,Full,2.6,Hồ Chí Minh,Quận 12,0.0
"Hẻm 29, Đường Lê Đức Thọ, Phường 7, Gò Vấp, Hồ Chí Minh",60.0,4.4,6.0,3.0,4,3,Sale contract,No furnishings,6.8,Hồ Chí Minh,Gò Vấp,1.0
"Đường Nguyễn Sơn, Phường Gia Thụy, Long Biên, Hà Nội",53.0,4.4,2.5,3.0,3,3,Have certificate,Basic,9.35,Hà Nội,Long Biên,1.0
"Đường Thành Thái, Phường 14, Quận 10, Hồ Chí Minh",44.0,5.1,4.8,3.0,4,5,Have certificate,Full,9.9,Hồ Chí Minh,Quận 10,1.0
"Đường Giáp Nhị, Phường Thịnh Liệt, Hoàng Mai, Hà Nội",85.0,3.5,3.0,5.0,3,3,Have certificate,No furnishings,3.1,Hà Nội,Hoàng Mai,1.0
"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",45.0,5.0,3.0,5.0,4,4,Have certificate,No furnishings,5.45,Hà Nội,Bắc Từ Liêm,1.0
"Đường Lê Đức Thọ, Phường 17, Gò Vấp, Hồ Chí Minh",57.0,5.0,3.0,1.0,3,2,Sale contract,No furnishings,3.9,Hồ Chí Minh,Gò Vấp,0.0
"đường Mỹ Đình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",35.0,4.0,3.0,5.0,3,4,Have certificate,Full,5.5,Hà Nội,Nam Từ Liêm,1.0
"Hẻm Số 1, Đường Cách Mạng Tháng Tám, Phường 7, Tân Bình, Hồ Chí Minh",120.0,6.0,6.0,1.0,3,2,Have certificate,No furnishings,9.5,Hồ Chí Minh,Tân Bình,0.0
"Đường Tân Ấp, Phường Phúc Xá, Ba Đình, Hà Nội",41.0,4.0,6.0,5.0,3,4,Have certificate,Basic,10.0,Hà Nội,Ba Đình,1.0
"Đường Quán Gánh, Xã Nhị Khê, Thường Tín, Hà Nội",40.0,4.4,5.0,4.0,1,1,Sale contract,No furnishings,2.95,Hà Nội,Thường Tín,0.0
"Ngõ 63, Đường Trần Quốc Vượng, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",58.0,4.4,5.0,4.0,4,4,Have certificate,No furnishings,6.8,Hà Nội,Cầu Giấy,1.0
"Đường Bùi Minh Trực, Phường 5, Quận 8, Hồ Chí Minh",60.0,4.0,3.5,2.0,4,3,Have certificate,Basic,5.58,Hồ Chí Minh,Quận 8,1.0
"Phố Lê Thanh Nghị, Phường Bách Khoa, Hai Bà Trưng, Hà Nội",55.0,3.0,2.0,5.0,6,4,Have certificate,No furnishings,8.5,Hà Nội,Hai Bà Trưng,1.0
"Phố Hồng Tiến, Phường Bồ Đề, Long Biên, Hà Nội",68.0,3.95,3.0,4.0,4,4,Have certificate,Full,9.9,Hà Nội,Long Biên,1.0
"Đường Số 43, Phường Bình Thuận, Quận 7, Hồ Chí Minh",80.0,4.0,10.0,2.0,2,2,Have certificate,No furnishings,9.9,Hồ Chí Minh,Quận 7,0.0
"117, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh",21.0,4.4,5.0,2.0,2,1,Have certificate,Basic,2.55,Hồ Chí Minh,Bình Thạnh,0.0
"Đường Dương Trí Trạch, Phường  An Hải Bắc, Sơn Trà, Đà Nẵng",75.0,5.0,5.5,2.0,3,3,Have certificate,No furnishings,6.8,Đà Nẵng,Sơn Trà,0.0
"Đường Trương Định, Phường Thịnh Liệt, Hoàng Mai, Hà Nội",36.0,4.3,4.0,4.0,4,3,Have certificate,Full,6.0,Hà Nội,Hoàng Mai,1.0
"Đường Nguyễn Văn Cừ, Phường Bồ Đề, Long Biên, Hà Nội",78.0,5.1,3.0,5.0,5,4,Have certificate,Full,9.5,Hà Nội,Long Biên,1.0
"Đường Tây Sơn, Phường Trung Liệt, Đống Đa, Hà Nội",50.0,4.0,4.0,4.0,5,5,Have certificate,Full,8.7,Hà Nội,Đống Đa,1.0
"Green River quận 8, 2225, Đường Phạm Thế Hiển, Phường 6, Quận 8, Hồ Chí Minh",151.0,7.5,12.0,2.0,2,3,Have certificate,Basic,5.2,Hồ Chí Minh,Quận 8,0.0
"Đường Lê Văn Tách, Phường Tương Bình Hiệp, Thủ Dầu Một, Bình Dương",129.0,4.4,5.0,2.0,1,1,Have certificate,Full,2.5,Bình Dương,Thủ Dầu Một,0.0
"Hẻm 21 Đường Vườn Lài, Phường Tân Thành, Tân Phú, Hồ Chí Minh",34.0,4.4,5.0,3.0,3,3,Have certificate,No furnishings,4.65,Hồ Chí Minh,Tân Phú,0.0
"120, Đường Lê Thiệt, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",36.0,4.0,12.0,4.0,3,3,Have certificate,No furnishings,5.6,Hồ Chí Minh,Tân Phú,1.0
"Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",90.0,5.0,7.5,2.0,3,2,Have certificate,No furnishings,4.1,Đà Nẵng,Ngũ Hành Sơn,0.0
"83/78/6A, Đường Năm Châu, Phường 12, Tân Bình, Hồ Chí Minh",56.0,4.25,5.0,2.0,1,1,Sale contract,No furnishings,5.4,Hồ Chí Minh,Tân Bình,0.0
"449/23/2, Đường Trường Chinh, Phường 14, Tân Bình, Hồ Chí Minh",64.0,4.65,5.0,1.0,1,1,Have certificate,No furnishings,7.9,Hồ Chí Minh,Tân Bình,0.0
"Hẻm 23 Đường Nguyễn Hữu Tiến, Phường Tây Thạnh, Tân Phú, Hồ Chí Minh",98.0,4.4,5.0,1.0,1,1,Sale contract,No furnishings,6.2,Hồ Chí Minh,Tân Phú,0.0
"Số 83/78/6A, Đường Năm Châu, Phường 11, Tân Bình, Hồ Chí Minh",110.0,8.1,5.0,2.0,3,3,Have certificate,Full,10.0,Hồ Chí Minh,Tân Bình,0.0
"449/23/2, Đường Trường Chinh, Phường 14, Tân Bình, Hồ Chí Minh",64.0,4.65,5.0,1.0,1,1,Sale contract,No furnishings,7.9,Hồ Chí Minh,Tân Bình,0.0
"Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội",46.0,4.0,4.0,4.0,4,4,Have certificate,Full,9.5,Hà Nội,Thanh Xuân,1.0
"Đường Phan Tây Hồ, Phường 7, Phú Nhuận, Hồ Chí Minh",69.0,4.0,3.0,3.0,4,3,Have certificate,No furnishings,5.9,Hồ Chí Minh,Phú Nhuận,1.0
"Phố Kim Mã Thượng, Phường Liễu Giai, Ba Đình, Hà Nội",36.0,4.0,3.0,5.0,3,5,Have certificate,Full,7.4,Hà Nội,Ba Đình,1.0
"Xã Thụy Hương, Chương Mỹ, Hà Nội.",31.4,3.1,5.0,3.0,3,2,Have certificate,No furnishings,2.1,Hà Nội,Chương Mỹ,0.0
"Dự án Lavila Kiến Á - Nhà Bè, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh",105.6,5.5,12.0,3.0,4,4,Have certificate,No furnishings,10.0,Hồ Chí Minh,Nhà Bè,1.0
"Đường Lê Sao, Phường Phú Thạnh, Tân Phú, Hồ Chí Minh",37.0,4.0,12.0,4.0,3,3,Have certificate,Basic,5.6,Hồ Chí Minh,Tân Phú,1.0
"đường Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",50.0,4.0,3.0,5.0,4,4,Have certificate,Full,9.5,Hà Nội,Nam Từ Liêm,1.0
"Phố Đà Nẵng, Phường Đông Hải 1, Hải An, Hải Phòng",71.0,4.5,12.0,4.0,4,3,Have certificate,No furnishings,5.95,Hải Phòng,Hải An,1.0
"Dự án Andochine Resort, Đường Trần Hưng Đạo, Xã Dương Tơ, Phú Quốc, Kiên Giang",100.0,4.4,5.0,1.0,1,1,Have certificate,Basic,4.8,Kiên Giang,Phú Quốc,0.0
"Đường Lê Trọng Tấn, Phường Tây Thạnh, Tân Phú, Hồ Chí Minh",68.0,4.2,8.0,3.0,4,4,Have certificate,Basic,6.5,Hồ Chí Minh,Tân Phú,1.0
"Đường Âu Dương Lân, Phường 3, Quận 8, Hồ Chí Minh",55.0,4.2,5.0,2.0,2,2,Have certificate,Full,5.6,Hồ Chí Minh,Quận 8,0.0
"Đường Thạnh Xuân 22, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",64.0,4.0,6.0,1.0,4,5,Sale contract,No furnishings,1.45,Hồ Chí Minh,Quận 12,0.0
"Đường Hoàng Hoa Thám, Phường Đội Cấn, Ba Đình, Hà Nội",38.0,4.0,3.0,6.0,3,5,Have certificate,Full,8.08,Hà Nội,Ba Đình,1.0
"Đường Lê Lai, Phường 11, Tân Bình, Hồ Chí Minh",80.0,5.2,5.0,4.0,5,6,Sale contract,No furnishings,7.7,Hồ Chí Minh,Tân Bình,1.0
"Đường Lê Hồng Phong, Phường Kim Mã, Ba Đình, Hà Nội",42.0,5.0,3.0,5.0,3,4,Have certificate,Full,7.5,Hà Nội,Ba Đình,1.0
"Đường Thạnh Xuân 38, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",50.0,7.25,10.0,3.0,5,4,Have certificate,No furnishings,4.31,Hồ Chí Minh,Quận 12,1.0
"Phố Kẻ Tạnh, Phường Giang Biên, Long Biên, Hà Nội",49.0,4.5,2.0,6.0,4,4,Sale contract,No furnishings,8.15,Hà Nội,Long Biên,1.0
"Đường Thạnh Mỹ Lợi, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",82.0,5.5,4.0,5.0,4,5,Have certificate,Full,9.5,Hồ Chí Minh,Quận 2,1.0
"Đường Hậu Ái, Xã Vân Canh, Hoài Đức, Hà Nội",36.0,4.0,4.0,5.0,3,3,Have certificate,Full,3.8,Hà Nội,Hoài Đức,1.0
"46, Đường 46, Phường 10, Quận 6, Hồ Chí Minh",64.0,4.0,5.0,3.0,6,5,Have certificate,No furnishings,9.3,Hồ Chí Minh,Quận 6,1.0
"1/, Đường Số 5, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh",56.0,4.4,6.0,2.0,4,4,Sale contract,No furnishings,5.7,Hồ Chí Minh,Bình Tân,1.0
"Đường Trần Hưng Đạo, Phường Đông Hòa, Dĩ An, Bình Dương",112.5,5.0,6.0,1.0,2,1,Have certificate,No furnishings,7.6,Bình Dương,Dĩ An,0.0
"Dự án The Sol Residence, Đường Thạnh Xuân 38, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",86.0,4.4,12.0,3.0,4,3,Have certificate,No furnishings,4.5,Hồ Chí Minh,Quận 12,0.0
"đường Đông Ngạc, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội",61.0,4.0,3.0,4.0,4,4,Have certificate,Basic,7.6,Hà Nội,Bắc Từ Liêm,1.0
"Đường Thạnh Xuân 22, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",40.0,4.0,5.0,2.0,2,2,Sale contract,No furnishings,1.35,Hồ Chí Minh,Quận 12,0.0
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",40.0,4.38,2.0,5.0,4,4,Have certificate,No furnishings,7.9,Hà Nội,Đống Đa,1.0
"Đường Ngô Gia Tự, Phường Đức Giang, Long Biên, Hà Nội",58.0,4.0,4.0,4.0,3,4,Have certificate,Basic,6.8,Hà Nội,Long Biên,1.0
"Đường Tô Ký, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh",100.0,5.0,5.0,2.0,3,3,Have certificate,Full,5.5,Hồ Chí Minh,Quận 12,0.0
"Đường Ái Mộ, Phường Bồ Đề, Long Biên, Hà Nội",41.0,4.0,4.0,5.0,3,4,Have certificate,Full,5.78,Hà Nội,Long Biên,1.0
"Đường Dân Chủ, Phường Bình Thọ, Thủ Đức, Hồ Chí Minh",87.0,4.3,7.0,4.0,5,5,Have certificate,No furnishings,9.5,Hồ Chí Minh,Thủ Đức,1.0
"Phường Ngọc Thụy, Long Biên, Hà Nội",30.0,4.0,3.0,5.0,3,4,Sale contract,No furnishings,4.29,Hà Nội,Long Biên,1.0
"Đường Kim Giang, Phường Đại Kim, Hoàng Mai, Hà Nội",36.0,4.0,3.0,4.0,3,4,Have certificate,Full,4.8,Hà Nội,Hoàng Mai,1.0
"Phường Ngọc Thụy, Long Biên, Hà Nội",51.0,5.1,3.0,1.0,1,1,Have certificate,No furnishings,7.5,Hà Nội,Long Biên,0.0
"Đường Cách Mạng Tháng Tám, Phường Quyết Thắng, Biên Hòa, Đồng Nai",69.0,5.6,2.0,2.0,3,2,Have certificate,No furnishings,2.3,Đồng Nai,Biên Hòa,0.0
"Phường Ngọc Thụy, Long Biên, Hà Nội",58.0,4.6,3.0,5.0,4,5,Have certificate,No furnishings,8.2,Hà Nội,Long Biên,1.0
"Phường Tân Mai, Hoàng Mai, Hà Nội",34.0,4.0,5.0,5.0,3,4,Have certificate,Full,6.0,Hà Nội,Hoàng Mai,1.0
"Phố Trần Cung, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",43.0,4.68,3.0,6.0,3,4,Have certificate,Basic,7.94,Hà Nội,Bắc Từ Liêm,1.0
"Đường Nguyễn Văn Hoa, Phường Thống Nhất, Biên Hòa, Đồng Nai",86.0,5.0,6.0,2.0,3,2,Sale contract,No furnishings,4.8,Đồng Nai,Biên Hòa,0.0
"Đường Nguyễn An Ninh, Phường Trương Định, Hai Bà Trưng, Hà Nội",40.0,4.8,5.0,6.0,3,1,Have certificate,Full,7.3,Hà Nội,Hai Bà Trưng,1.0
"Đường Man Thiện, Phường Tăng Nhơn Phú A, Thủ Đức, Hồ Chí Minh",38.1,4.0,4.0,1.0,2,1,Have certificate,No furnishings,3.6,Hồ Chí Minh,Thủ Đức,0.0
"Đường Trại Lẻ, Phường  Kênh Dương, Lê Chân, Hải Phòng",51.0,4.0,10.0,4.0,3,4,Have certificate,Full,6.55,Hải Phòng,Lê Chân,1.0
"Đường Thiên Hiền, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",30.0,4.4,5.0,6.0,3,4,Have certificate,Full,6.0,Hà Nội,Nam Từ Liêm,1.0
"Đường Phú Thuận, Phường Phú Thuận, Quận 7, Hồ Chí Minh",96.0,6.0,5.0,4.0,8,6,Have certificate,No furnishings,8.0,Hồ Chí Minh,Quận 7,1.0
"Phố Văn Hội, Phường Đức Thắng, Bắc Từ Liêm, Hà Nội",42.0,6.0,3.0,4.0,4,3,Have certificate,Full,5.4,Hà Nội,Bắc Từ Liêm,1.0
"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",45.0,5.0,3.0,5.0,3,4,Have certificate,No furnishings,6.45,Hà Nội,Bắc Từ Liêm,1.0
"Đường Cư Xá Vĩnh Hội, Phường 6, Quận 4, Hồ Chí Minh",44.0,7.0,6.0,1.0,1,1,Have certificate,No furnishings,5.4,Hồ Chí Minh,Quận 4,0.0
"Phố Vũ Hữu, Phường Hòa Thuận Tây, Hải Châu, Đà Nẵng.",95.0,4.4,7.5,3.0,3,3,Have certificate,No furnishings,8.5,Đà Nẵng,Hải Châu,1.0
"Dự án KĐTM lấn biển Tây Bắc TP. Rạch Giá, Đường Số 5, Phường Vĩnh Thanh, Rạch Giá, Kiên Giang",126.0,4.4,5.0,1.0,4,4,Have certificate,No furnishings,6.0,Kiên Giang,Rạch Giá,0.0
"Đường Đền Lừ 2, Phường Tân Mai, Hoàng Mai, Hà Nội",35.0,4.4,5.0,5.0,3,3,Have certificate,Basic,4.5,Hà Nội,Hoàng Mai,1.0
"Đường Tô Ngọc Vân, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",50.0,4.0,12.0,4.0,5,3,Have certificate,No furnishings,5.8,Hồ Chí Minh,Quận 12,1.0
"Dự án KĐTM lấn biển Tây Bắc TP. Rạch Giá, Rạch Giá, Kiên Giang",110.0,4.4,5.0,1.0,1,1,Have certificate,No furnishings,2.85,Kiên Giang,Rạch Giá,0.0
"Đường Thiên Hộ Dương, Phường 1, Gò Vấp, Hồ Chí Minh",60.6,6.0,6.0,3.0,3,3,Sale contract,No furnishings,6.1,Hồ Chí Minh,Gò Vấp,0.0
"Phường Kiến Hưng, Hà Đông, Hà Nội",40.0,5.5,6.0,5.0,4,4,Have certificate,No furnishings,7.9,Hà Nội,Hà Đông,1.0
"Dự án Meyhomes Capital, Đường 975, Phường An Thới, Phú Quốc, Kiên Giang",117.0,6.5,12.0,4.0,4,5,Have certificate,Basic,6.9,Kiên Giang,Phú Quốc,1.0
"Hẻm 141, Đường Tám Danh, Phường 4, Quận 8, Hồ Chí Minh",91.8,4.0,5.0,2.0,2,1,Have certificate,No furnishings,3.95,Hồ Chí Minh,Quận 8,0.0
"Đường Nguyễn Thị Minh Khai, Phường Tân An, Ninh Kiều, Cần Thơ",50.0,7.0,3.0,1.0,1,1,Have certificate,Basic,2.08,Cần Thơ,Ninh Kiều,0.0
"Dự án Lộc Phát Residence, Đường 22/12, Phường Thuận Giao, Thuận An, Bình Dương",61.6,4.0,12.0,3.0,4,4,Have certificate,Full,3.6,Bình Dương,Thuận An,1.0
"Đường Vũ Chí Thắng, Phường Niệm Nghĩa, Lê Chân, Hải Phòng",75.0,7.6,5.0,4.0,4,4,Have certificate,No furnishings,6.0,Hải Phòng,Lê Chân,1.0
"Đường Phạm Cự Lượng, Phường An Hải Đông, Sơn Trà, Đà Nẵng",55.0,4.0,7.5,3.0,3,2,Have certificate,Basic,6.9,Đà Nẵng,Sơn Trà,0.0
"Đường Khuyến Lương, Phường Trần Phú, Hoàng Mai, Hà Nội",30.0,4.2,6.0,5.0,3,3,Have certificate,Full,5.5,Hà Nội,Hoàng Mai,1.0
"Đường Đội Cấn, Phường Đội Cấn, Ba Đình, Hà Nội",50.0,4.0,2.5,5.0,4,4,Have certificate,No furnishings,8.5,Hà Nội,Ba Đình,1.0
"Đường Lạc Long Quân, Phường 3, Quận 11, Hồ Chí Minh",40.0,3.0,6.0,2.0,3,2,Have certificate,Basic,4.68,Hồ Chí Minh,Quận 11,0.0
"Đường Cây Bài, Xã Phước Vĩnh An, Củ Chi, Hồ Chí Minh",116.0,5.0,8.0,2.0,3,2,Have certificate,No furnishings,3.2,Hồ Chí Minh,Củ Chi,0.0
"Phố Hoàng Ngọc Phách, Phường  Kênh Dương, Lê Chân, Hải Phòng",45.0,4.4,5.0,3.0,3,3,Have certificate,Full,2.85,Hải Phòng,Lê Chân,0.0
"Đường Số 5, Phường Linh Chiểu, Thủ Đức, Hồ Chí Minh",63.0,5.0,3.0,2.0,2,1,Have certificate,Basic,4.15,Hồ Chí Minh,Thủ Đức,0.0
"Đường Trung Hành, Phường Đằng Lâm, Hải An, Hải Phòng",65.0,4.15,4.0,4.0,4,5,Sale contract,No furnishings,3.85,Hải Phòng,Hải An,1.0
"Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",58.5,4.5,5.0,2.0,2,2,Have certificate,No furnishings,3.7,Hồ Chí Minh,Thủ Đức,0.0
"Đường An Thượng 37, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng",60.0,5.0,7.0,4.0,4,4,Have certificate,Full,7.8,Đà Nẵng,Ngũ Hành Sơn,1.0
"Đường Tô Ký, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",42.0,4.0,6.0,2.0,2,2,Have certificate,Basic,2.5,Hồ Chí Minh,Quận 12,0.0
"Dự án Phúc Lộc Viên, Đường Ngô Quyền, Phường  An Hải Bắc, Sơn Trà, Đà Nẵng",150.0,7.5,7.5,2.0,4,3,Have certificate,Full,9.8,Đà Nẵng,Sơn Trà,0.0
